random_166.txt,21,8-8;4-3;0-9;8-4;5-2,
random_167.txt,15,9-1;7-1;5-0;3-5;5-8,
random_168.txt,21,7-7;5-4;7-0;5-0;4-2,
random_169.txt,17,7-3;1-1;4-5;4-3;6-6,
random_170.txt,36,1-8;8-9;5-3;8-8;7-5,
random_171.txt,9999,8-4;4-1;3-2;6-7;4-8,INF-UNREACHABLE
random_172.txt,25,1-8;7-8;7-0;5-0;1-6,
random_173.txt,31,8-2;6-0;3-3;8-7;4-3,
random_174.txt,29,2-8;4-5;4-9;8-4;3-0,
random_175.txt,12,5-6;2-2;7-3;5-2;1-3,
random_176.txt,34,7-0;8-1;1-8;0-3;0-0,
random_177.txt,33,2-5;0-6;8-1;8-2;0-8,
random_178.txt,36,3-6;3-0;5-0;3-2;4-4,
random_179.txt,34,0-1;0-6;1-6;1-2;5-5,
random_180.txt,44,4-4;0-8;3-9;5-9;0-3,
random_181.txt,27,5-9;0-6;6-4;9-1;6-0,
random_182.txt,9999,4-8;1-4;9-9;2-4;8-9,INF-UNREACHABLE
random_183.txt,26,0-7;4-6;0-0;1-2;4-2,
random_184.txt,32,0-7;9-2;7-1;9-0;7-6,
random_185.txt,15,7-1;5-7;5-4;8-1;8-7,
random_186.txt,15,5-7;6-4;9-7;7-0;3-9,
random_187.txt,22,2-2;2-8;6-4;5-3;8-7,
random_188.txt,22,8-1;6-4;1-5;9-9;8-5,
random_0.txt,25,0-2;8-6;7-6;6-6;8-7
random_1.txt,14,7-5;5-1;3-4;5-5;3-0
